Covid: (United States),Week
0,3/13/16
<1,3/20/16
0,3/27/16
0,4/3/16
<1,4/10/16
0,4/17/16
0,4/24/16
0,5/1/16
0,5/8/16
<1,5/15/16
0,5/22/16
0,5/29/16
0,6/5/16
<1,6/12/16
0,6/19/16
0,6/26/16
0,7/3/16
0,7/10/16
<1,7/17/16
0,7/24/16
<1,7/31/16
0,8/7/16
0,8/14/16
0,8/21/16
0,8/28/16
0,9/4/16
0,9/11/16
<1,9/18/16
0,9/25/16
0,10/2/16
0,10/9/16
<1,10/16/16
<1,10/23/16
0,10/30/16
<1,11/6/16
0,11/13/16
0,11/20/16
<1,11/27/16
0,12/4/16
0,12/11/16
<1,12/18/16
0,12/25/16
<1,1/1/17
0,1/8/17
0,1/15/17
<1,1/22/17
0,1/29/17
0,2/5/17
<1,2/12/17
0,2/19/17
0,2/26/17
<1,3/5/17
0,3/12/17
0,3/19/17
0,3/26/17
<1,4/2/17
0,4/9/17
0,4/16/17
<1,4/23/17
<1,4/30/17
0,5/7/17
0,5/14/17
0,5/21/17
<1,5/28/17
0,6/4/17
0,6/11/17
<1,6/18/17
0,6/25/17
0,7/2/17
<1,7/9/17
<1,7/16/17
0,7/23/17
0,7/30/17
0,8/6/17
0,8/13/17
0,8/20/17
0,8/27/17
<1,9/3/17
<1,9/10/17
0,9/17/17
<1,9/24/17
<1,10/1/17
0,10/8/17
<1,10/15/17
0,10/22/17
0,10/29/17
0,11/5/17
0,11/12/17
0,11/19/17
0,11/26/17
0,12/3/17
0,12/10/17
<1,12/17/17
0,12/24/17
<1,12/31/17
<1,1/7/18
0,1/14/18
0,1/21/18
0,1/28/18
0,2/4/18
0,2/11/18
0,2/18/18
0,2/25/18
0,3/4/18
0,3/11/18
0,3/18/18
0,3/25/18
0,4/1/18
0,4/8/18
0,4/15/18
0,4/22/18
0,4/29/18
<1,5/6/18
0,5/13/18
0,5/20/18
0,5/27/18
0,6/3/18
0,6/10/18
0,6/17/18
0,6/24/18
0,7/1/18
0,7/8/18
0,7/15/18
0,7/22/18
0,7/29/18
<1,8/5/18
<1,8/12/18
<1,8/19/18
0,8/26/18
<1,9/2/18
0,9/9/18
<1,9/16/18
0,9/23/18
0,9/30/18
0,10/7/18
0,10/14/18
0,10/21/18
0,10/28/18
0,11/4/18
<1,11/11/18
<1,11/18/18
<1,11/25/18
<1,12/2/18
<1,12/9/18
<1,12/16/18
0,12/23/18
<1,12/30/18
0,1/6/19
0,1/13/19
<1,1/20/19
0,1/27/19
<1,2/3/19
0,2/10/19
0,2/17/19
<1,2/24/19
0,3/3/19
0,3/10/19
<1,3/17/19
<1,3/24/19
0,3/31/19
0,4/7/19
<1,4/14/19
<1,4/21/19
<1,4/28/19
<1,5/5/19
<1,5/12/19
<1,5/19/19
<1,5/26/19
0,6/2/19
0,6/9/19
0,6/16/19
<1,6/23/19
0,6/30/19
<1,7/7/19
<1,7/14/19
<1,7/21/19
0,7/28/19
0,8/4/19
0,8/11/19
0,8/18/19
<1,8/25/19
0,9/1/19
0,9/8/19
<1,9/15/19
0,9/22/19
0,9/29/19
<1,10/6/19
0,10/13/19
0,10/20/19
0,10/27/19
<1,11/3/19
0,11/10/19
0,11/17/19
<1,11/24/19
0,12/1/19
<1,12/8/19
0,12/15/19
0,12/22/19
0,12/29/19
0,1/5/20
0,1/12/20
0,1/19/20
0,1/26/20
0,2/2/20
<1,2/9/20
<1,2/16/20
2,2/23/20
7,3/1/20
29,3/8/20
77,3/15/20
93,3/22/20
95,3/29/20
84,4/5/20
66,4/12/20
61,4/19/20
56,4/26/20
54,5/3/20
53,5/10/20
50,5/17/20
45,5/24/20
37,5/31/20
43,6/7/20
51,6/14/20
66,6/21/20
78,6/28/20
79,7/5/20
85,7/12/20
69,7/19/20
70,7/26/20
61,8/2/20
53,8/9/20
50,8/16/20
45,8/23/20
47,8/30/20
41,9/6/20
41,9/13/20
42,9/20/20
53,9/27/20
56,10/4/20
47,10/11/20
51,10/18/20
57,10/25/20
46,11/1/20
79,11/8/20
100,11/15/20
78,11/22/20
78,11/29/20
85,12/6/20
83,12/13/20
84,12/20/20
87,12/27/20
84,1/3/21
91,1/10/21
82,1/17/21
81,1/24/21
73,1/31/21
72,2/7/21
62,2/14/21
68,2/21/21
78,2/28/21
74,3/7/21
